                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1731,                 3.7044,                 1.1512,                 0.0068,                0.63636,                0.06288,                0.04921,                0.72091,                 3.4254,                0.99426,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.0835,                 3.6063,                 1.1214,                0.01003,                0.90909,                0.26959,                0.21267,                0.56759,                 3.2889,                0.89002,             9.9782e-05,             9.9782e-05,             9.9782e-05
                      3,                0.89862,                 3.0486,                 1.0193,                0.01021,                      1,                0.36609,                0.25111,                0.51524,                 3.1206,                0.83567,             0.00015641,             0.00015641,             0.00015641
                      4,                0.84618,                 2.0775,                0.97012,                0.88646,                0.21212,                0.59516,                0.39641,                0.55936,                 2.8414,                 0.8223,             0.00021276,             0.00021276,             0.00021276
                      5,                 0.8633,                 1.7377,                0.96305,                0.96107,                0.23004,                0.59403,                0.43347,                0.55217,                  2.722,                0.82998,             0.00026882,             0.00026882,             0.00026882
                      6,                0.79362,                 1.4948,                0.93368,                0.99312,                0.33333,                0.70175,                0.47595,                0.56083,                 2.6017,                0.83595,              0.0003246,              0.0003246,              0.0003246
                      7,                0.77917,                 1.4639,                  0.971,                      1,                0.26379,                0.77094,                0.53624,                0.56962,                  2.529,                0.81934,              0.0003801,              0.0003801,              0.0003801
                      8,                0.73594,                 1.3423,                0.93947,                      1,                0.22636,                0.79365,                0.58478,                0.54948,                 2.5603,                0.81748,             0.00043532,             0.00043532,             0.00043532
                      9,                0.73836,                 1.2318,                0.92565,                      1,                 0.4023,                0.76967,                 0.5626,                0.67271,                 2.6656,                 0.8402,             0.00049025,             0.00049025,             0.00049025
                     10,                0.70139,                 1.1083,                0.91955,                      1,                0.12946,                0.77007,                0.54928,                  0.638,                 2.7372,                0.84656,              0.0005449,              0.0005449,              0.0005449
                     11,                0.66878,                0.97708,                0.89822,                      1,                0.18874,                 0.7663,                0.57472,                0.62203,                 2.6947,                0.85417,             0.00059926,             0.00059926,             0.00059926
                     12,                0.68309,                0.92593,                  0.937,                      1,                0.17616,                0.74572,                0.55408,                0.63609,                 2.7244,                0.88859,             0.00065334,             0.00065334,             0.00065334
                     13,                0.71607,                0.92917,                0.93304,                      1,                 0.1513,                0.76353,                 0.5855,                0.61479,                  2.746,                0.87061,             0.00070714,             0.00070714,             0.00070714
                     14,                0.78142,                 1.0139,                0.97239,                      1,                0.15113,                0.71033,                0.56411,                0.64542,                 2.7659,                0.87668,             0.00076066,             0.00076066,             0.00076066
                     15,                0.67805,                0.97171,                0.94266,                      1,                0.21285,                0.88668,                0.64717,                0.71414,                  2.657,                0.94368,              0.0008139,              0.0008139,              0.0008139
                     16,                0.71683,                 0.9135,                0.94177,                      1,                0.30985,                0.89822,                0.69951,                0.69465,                 2.4766,                0.93606,             0.00086685,             0.00086685,             0.00086685
                     17,                0.65806,                0.86314,                0.90491,                      1,                0.43126,                0.91708,                0.73753,                0.62614,                 2.3374,                0.91165,             0.00091952,             0.00091952,             0.00091952
                     18,                0.72365,                0.94749,                0.95038,                      1,                0.14707,                0.95886,                0.74538,                0.66721,                 2.4647,                0.93754,              0.0009719,              0.0009719,              0.0009719
                     19,                0.77004,                0.91975,                0.99144,                      1,                0.29325,                0.95702,                0.74397,                0.68423,                 2.4491,                0.95405,               0.001024,               0.001024,               0.001024
                     20,                0.66265,                0.83209,                 0.9137,                0.94613,                0.81924,                0.95089,                0.75821,                0.70341,                 2.0966,                 1.0086,              0.0010758,              0.0010758,              0.0010758
                     21,                 0.6907,                0.86334,                0.91612,                0.88109,                0.71939,                0.93878,                 0.6983,                0.80105,                 2.0459,                   1.06,              0.0011274,              0.0011274,              0.0011274
                     22,                0.70293,                0.92365,                0.95345,                0.90312,                0.75751,                0.94467,                0.63867,                 0.8271,                 2.0564,                 1.1119,              0.0011786,              0.0011786,              0.0011786
                     23,                 0.7011,                 0.8098,                0.95661,                0.86747,                0.76393,                0.88056,                0.57798,                0.90994,                  2.088,                 1.2484,              0.0012296,              0.0012296,              0.0012296
                     24,                0.66679,                0.80827,                0.91806,                0.85477,                 0.6994,                0.84965,                0.58251,                0.92355,                  2.026,                 1.2595,              0.0012803,              0.0012803,              0.0012803
                     25,                0.69229,                0.83839,                0.91443,                0.94693,                0.81888,                0.96186,                0.62674,                0.87025,                 1.6319,                 1.1606,              0.0013307,              0.0013307,              0.0013307
                     26,                0.67896,                0.77729,                0.90649,                0.94119,                0.88873,                0.96019,                0.67991,                0.87108,                 1.3825,                 1.1431,              0.0013406,              0.0013406,              0.0013406
                     27,                0.69879,                0.83506,                0.93395,                0.83567,                0.89555,                0.93863,                0.69889,                0.80823,                 1.2744,                 1.0891,              0.0013406,              0.0013406,              0.0013406
                     28,                0.64729,                0.78564,                0.91641,                0.83198,                0.90278,                0.95346,                0.73584,                0.73347,                 1.2644,                 1.0165,               0.001337,               0.001337,               0.001337
                     29,                 0.6179,                0.77387,                0.90673,                0.88068,                0.91694,                 0.9775,                0.79704,                0.64657,                 1.2182,                0.96421,              0.0013335,              0.0013335,              0.0013335
                     30,                0.60749,                0.77054,                0.88694,                0.91924,                      1,                  0.995,                0.82149,                0.62655,                 1.0684,                0.94733,                0.00133,                0.00133,                0.00133
                     31,                0.58353,                0.75232,                0.92014,                0.90352,                0.97778,                 0.9825,                0.79039,                 0.6457,                0.97236,                0.98225,              0.0013264,              0.0013264,              0.0013264
                     32,                0.60219,                0.72676,                0.89365,                0.81329,                0.98614,                0.94049,                0.70717,                0.81304,                0.96965,                 1.0825,              0.0013229,              0.0013229,              0.0013229
                     33,                0.65414,                0.73178,                 0.8975,                0.83344,                  0.892,                0.92879,                0.70648,                0.87053,                0.94882,                 1.1171,              0.0013194,              0.0013194,              0.0013194
                     34,                0.63277,                 0.7042,                0.91999,                 0.8734,                0.88709,                0.94764,                0.70922,                0.83827,                0.95337,                 1.1067,              0.0013158,              0.0013158,              0.0013158
                     35,                0.59146,                0.68882,                0.88709,                0.90427,                0.93388,                0.97205,                0.76356,                 0.7357,                 0.9328,                 1.0386,              0.0013123,              0.0013123,              0.0013123
                     36,                0.55237,                0.66052,                0.88772,                0.95288,                0.90339,                0.97375,                0.79835,                0.65347,                0.87748,                0.99333,              0.0013087,              0.0013087,              0.0013087
                     37,                0.59039,                0.70876,                0.89561,                0.91282,                0.93551,                0.94686,                0.75686,                 0.6562,                0.89182,                0.97935,              0.0013052,              0.0013052,              0.0013052
